"","earnings_cut","unem_rate_2019","unem_rate_2020"
"1","(-Inf,490]",0.0263538150251191,0.198798653710922
"2","(490,760]",0.0149689788244061,0.127931163926111
"3","(760,1.06e+03]",0.0149066856003058,0.0795625848761604
"4","(1.06e+03,1.63e+03]",0.00916339804606938,0.0619100882303014
"5","(1.63e+03, Inf]",0.00759523551864106,0.0381240003393456
