occupation,se
Construction,0.02682597485935245
Food service,0.03330190217788676
IT,0.02322574860500608
Janitors,0.027894541651247502
Managers,0.031183317406547607
Medical assistants,0.021127043672306844
Nurses & therapists,0.018020760568709483
Receptionist,0.04335632665216982
Sales & retail,0.031597355735400914
Teachers,0.017958636238219014
Transport,0.020592885654805076
