statistic,quantile,Main estimate,Include self-employment income,Drop tipped occupations,Include PUA recipients,Include non-wage compensation,Account for payroll tax and include non-wage compensation
Quantile,0.25,1.02543408298586,1.01953314912456,0.939651249306375,1.05490992645622,0.8508972462452828,0.907719468566079
Quantile,0.5,1.45234923316187,1.44349017130848,1.34653265103277,1.48583921243932,1.24664520011567,1.33774731515268
Quantile,0.75,1.95119883462761,1.95119883462761,1.7697989795491598,2.02425878265899,1.84382832871787,1.99631652333076
Share over 1,NA,0.7614559187001321,0.7592657024236904,0.7159533240642828,0.7727064371462975,0.6501705917942098,0.6892462778169056
