"","icode","unem_rate_2019","unem_rate_2020"
"1",1,0.0271123889224988,0.0384186287454019
"2",2,0.0508984863802892,0.0687158121474527
"3",3,0.0344168978664119,0.111423848628324
"4",4,0.0226788257123416,0.113349736691632
"5",5,0.0426644646292375,0.142551086187785
"6",6,0.0376516457260142,0.122877602563875
"7",7,0.0307728908930243,0.123873576476507
"8",8,0.0159883743475492,0.058149253070497
"9",9,0.0314629499334177,0.0866146234159046
"10",10,0.0216422268354013,0.0985610627928681
"11",11,0.0539141181532667,0.344076222493107
"12",12,0.0274305830478081,0.174075270970328
"13",13,0.018619121468517,0.0331975198144264
"14",14,1,1
