statistic,quantile,type,state,occupation,var,mean
Quantile,0.25,PUA_recipiency,NA,NA,4.728242748136558e-5,1.009943760788546
Quantile,0.25,benefits and tax,NA,NA,1.7064800448120632e-5,0.8980170561592156
Quantile,0.25,benefits only,NA,NA,1.2499448345724767e-5,0.8438479528141826
Quantile,0.25,business,NA,NA,1.3847894209072284e-5,1.0064110302613094
Quantile,0.25,main,NA,NA,4.728242748136558e-5,1.009943760788546
Quantile,0.25,no tipping,NA,NA,5.4603173051745045e-5,0.9301928856146451
Quantile,0.25,payroll,NA,NA,5.544035028497308e-5,1.0936045054559262
Quantile,0.5,PUA_recipiency,NA,NA,8.72977935258687e-5,1.4292668776521715
Quantile,0.5,benefits and tax,NA,NA,6.33680862974271e-5,1.3234475380368786
Quantile,0.5,benefits only,NA,NA,3.0942089834876764e-5,1.2300625685425048
Quantile,0.5,business,NA,NA,1.1351945523087303e-5,1.4237717466929858
Quantile,0.5,main,NA,NA,8.72977935258687e-5,1.4292668776521715
Quantile,0.5,no tipping,NA,NA,3.794337577051412e-5,1.3393604596465654
Quantile,0.5,payroll,NA,NA,1.0235980912983716e-4,1.5476631051999694
Quantile,0.75,PUA_recipiency,NA,NA,5.145281877964724e-5,1.8840181444828
Quantile,0.75,benefits and tax,NA,NA,2.2039469353275483e-4,1.9553813611729949
Quantile,0.75,benefits only,NA,NA,1.8790027789354876e-4,1.809235806751648
Quantile,0.75,business,NA,NA,2.794165933033418e-4,1.8798556163466755
Quantile,0.75,main,NA,NA,5.145281877964724e-5,1.8840181444828
Quantile,0.75,no tipping,NA,NA,7.5940452634439325e-6,1.7394583685430691
Quantile,0.75,payroll,NA,NA,6.0330284383484826e-5,2.040084617739897
Share over 1,NA,PUA_recipiency,NA,NA,6.041943738791723e-6,0.755571988138753
Share over 1,NA,benefits and tax,NA,NA,7.63955946588843e-6,0.6819452778404699
Share over 1,NA,benefits only,NA,NA,8.350331459187903e-6,0.6426698700669168
Share over 1,NA,business,NA,NA,6.147245635664326e-6,0.753340225407053
Share over 1,NA,main,NA,NA,6.041943738791723e-6,0.755571988138753
Share over 1,NA,no tipping,NA,NA,8.92348243052071e-6,0.7098257083363912
Share over 1,NA,payroll,NA,NA,5.435239368219156e-6,0.7912188656730671
NA,NA,state_FPUC,AK,NA,0.0031055705006222422,1.3562050004984196
NA,NA,state_FPUC,AL,NA,3.762768865816745e-4,1.47904915526547
NA,NA,state_FPUC,AR,NA,9.934130810521195e-4,1.5106919454009067
NA,NA,state_FPUC,AZ,NA,0.0038116282947880473,1.1751174607129953
NA,NA,state_FPUC,CA,NA,0.0010860132192555833,1.3930980674371718
NA,NA,state_FPUC,CO,NA,0.0012907620116281247,1.4762544852053703
NA,NA,state_FPUC,CT,NA,0.0018643998067015108,1.4404509226892925
NA,NA,state_FPUC,DE,NA,0.002882460990093771,1.5917767817823987
NA,NA,state_FPUC,FL,NA,6.827060444163091e-4,1.4780389494027593
NA,NA,state_FPUC,GA,NA,7.65693655648216e-4,1.630601035138223
NA,NA,state_FPUC,HI,NA,3.890335972193558e-4,1.486815605811103
NA,NA,state_FPUC,IA,NA,6.591794255168955e-4,1.4985116913016272
NA,NA,state_FPUC,ID,NA,8.654186360607842e-4,1.5180124227444527
NA,NA,state_FPUC,IL,NA,0.001167045387885186,1.4281274562618216
NA,NA,state_FPUC,IN,NA,0.002908620870215497,1.4172252387971298
NA,NA,state_FPUC,KS,NA,3.146667366721056e-4,1.4254771058565354
NA,NA,state_FPUC,KY,NA,0.005782660104337287,1.5467173096672762
NA,NA,state_FPUC,LA,NA,0.006009612372671561,1.3918867348762474
NA,NA,state_FPUC,MA,NA,5.378736930815784e-4,1.3472901234669936
NA,NA,state_FPUC,MD,NA,7.656451657834178e-4,1.4154988802438802
NA,NA,state_FPUC,ME,NA,0.0014956710182379197,1.6009277923338197
NA,NA,state_FPUC,MI,NA,0.0017032798666588651,1.3737174585138117
NA,NA,state_FPUC,MN,NA,0.0027830607316474054,1.4460096158240114
NA,NA,state_FPUC,MO,NA,0.005470380955615448,1.5083358911256046
NA,NA,state_FPUC,MS,NA,0.007194549408668507,1.4364821253213245
NA,NA,state_FPUC,MT,NA,1.2170928690939583e-4,1.537071532370738
NA,NA,state_FPUC,NC,NA,3.2047474274603606e-32,1.51583918243932
NA,NA,state_FPUC,ND,NA,0.0024348809680579406,1.4656640718138854
NA,NA,state_FPUC,NE,NA,0.006440464785526594,1.488781450808229
NA,NA,state_FPUC,NH,NA,5.977310664424533e-4,1.3850409047919459
NA,NA,state_FPUC,NJ,NA,0.003512631584972805,1.3785534838867664
NA,NA,state_FPUC,NM,NA,0.0026521012548818986,1.5927291634078644
NA,NA,state_FPUC,NV,NA,4.2428795887293464e-4,1.375512550089907
NA,NA,state_FPUC,NY,NA,5.736146493349885e-4,1.3552078927380249
NA,NA,state_FPUC,OH,NA,0.001634486768321243,1.416679439255163
NA,NA,state_FPUC,OK,NA,0.006872590803900486,1.6320009736111705
NA,NA,state_FPUC,OR,NA,0.005429862432457371,1.545003009843923
NA,NA,state_FPUC,PA,NA,0.0011880627619973284,1.4568058380498026
NA,NA,state_FPUC,RI,NA,0.0045035945340704394,1.3151942896794588
NA,NA,state_FPUC,SC,NA,0.001399288911575823,1.376948203599769
NA,NA,state_FPUC,SD,NA,0.0015657505026096031,1.5429675125767643
NA,NA,state_FPUC,TN,NA,0.004610821531670911,1.3825618756730078
NA,NA,state_FPUC,TX,NA,8.346720568952007e-4,1.4781602229962714
NA,NA,state_FPUC,UT,NA,0.0018705636047626926,1.464684648475436
NA,NA,state_FPUC,VA,NA,0.0017921740794345613,1.504693020501488
NA,NA,state_FPUC,VT,NA,9.590586618033275e-4,1.4503319968994415
NA,NA,state_FPUC,WA,NA,0.0010727748773632965,1.360169615860332
NA,NA,state_FPUC,WI,NA,0.0010024147250442936,1.5281114236319848
NA,NA,state_FPUC,WV,NA,9.113024523779256e-4,1.560382132523316
NA,NA,state_FPUC,WY,NA,0.003921650705969613,1.5189302383646217
NA,NA,state_Jan,AK,NA,2.6085848401216134e-5,0.4640272107215582
NA,NA,state_Jan,AL,NA,1.930400255519705e-4,0.46255827501384866
NA,NA,state_Jan,AR,NA,0,0.50000002
NA,NA,state_Jan,AZ,NA,3.111533301867494e-4,0.3357478459179984
NA,NA,state_Jan,CA,NA,4.16000867987643e-33,0.499999994
NA,NA,state_Jan,CO,NA,9.244463733058733e-34,0.599999998
NA,NA,state_Jan,CT,NA,4.468157470978388e-33,0.499999994
NA,NA,state_Jan,DE,NA,0,0.56521738
NA,NA,state_Jan,FL,NA,6.743463785662256e-5,0.4645265269551528
NA,NA,state_Jan,GA,NA,5.799561552587599e-4,0.6067506711776779
NA,NA,state_Jan,HI,NA,0,0.619047624
NA,NA,state_Jan,IA,NA,0,0.565217393
NA,NA,state_Jan,ID,NA,4.545194668753877e-33,0.499999994
NA,NA,state_Jan,IL,NA,3.6207482954480035e-33,0.469999998
NA,NA,state_Jan,IN,NA,2.7733391199176197e-33,0.470000024
NA,NA,state_Jan,KS,NA,0,0.5525
NA,NA,state_Jan,KY,NA,6.070806239906808e-4,0.613137287979126
NA,NA,state_Jan,LA,NA,3.945940387482907e-4,0.3824489923242031
NA,NA,state_Jan,MA,NA,1.7487443895036104e-32,0.499999994
NA,NA,state_Jan,MD,NA,0,0.541666671
NA,NA,state_Jan,ME,NA,0,0.590909098
NA,NA,state_Jan,MI,NA,2.411865081479479e-4,0.5169290228503106
NA,NA,state_Jan,MN,NA,4.005934284325451e-33,0.499999994
NA,NA,state_Jan,MO,NA,1.7904268804050892e-4,0.5060749255441085
NA,NA,state_Jan,MS,NA,5.698576371956956e-4,0.4042794005395338
NA,NA,state_Jan,MT,NA,0,0.52
NA,NA,state_Jan,NC,NA,1.5407439555097887e-32,0.499999994
NA,NA,state_Jan,ND,NA,5.46964104205975e-33,0.4999999875
NA,NA,state_Jan,NE,NA,4.776306262080345e-33,0.499999994
NA,NA,state_Jan,NH,NA,1.965199790805896e-4,0.4780344235654836
NA,NA,state_Jan,NJ,NA,0,0.6
NA,NA,state_Jan,NM,NA,0,0.534999998
NA,NA,state_Jan,NV,NA,0,0.52
