quantile,type,state,var,mean
0.25,benefits and tax,NA,1.5160942773517983e-5,0.9102903268533942
0.25,benefits only,NA,1.5620609999243696e-5,0.8534452176462684
0.25,business,NA,3.3336355243187786e-5,1.0223655276532002
0.25,main,NA,2.6924043497504543e-5,1.0261204358651486
0.25,no tipping,NA,1.5906520705883793e-5,0.9361690657830557
0.25,payroll,NA,3.1569411345859415e-5,1.1111212083001056
0.25,PUA_recipiency,NA,2.6924043497504543e-5,1.0261204358651486
0.5,benefits and tax,NA,5.293559707200813e-5,1.3450354349698947
0.5,benefits only,NA,2.6540273234235083e-5,1.2497905581565854
0.5,business,NA,5.484801301514564e-5,1.4504014639979417
0.5,main,NA,2.6702178215367495e-5,1.4532902252906654
0.5,no tipping,NA,1.936991152373271e-5,1.345294185259039
0.5,payroll,NA,3.1309266306559664e-5,1.5736764756801969
0.5,PUA_recipiency,NA,2.6702178215367495e-5,1.4532902252906654
0.75,benefits and tax,NA,3.095557644741038e-4,2.0058024532734344
0.75,benefits only,NA,2.24977141030548e-4,1.8574339852641109
0.75,business,NA,2.595100487421019e-4,1.9460287282684958
0.75,main,NA,7.859928651780523e-5,1.9507440937707827
0.75,no tipping,NA,1.5463726076147839e-4,1.765296427579749
0.75,payroll,NA,9.216049616775395e-5,2.112337946692778
0.75,PUA_recipiency,NA,7.859928651780523e-5,1.9507440937707827
NA,benefits and tax,NA,7.362147908011144e-6,0.6912044420271178
NA,benefits only,NA,8.335103954140437e-6,0.6522129407020983
NA,business,NA,5.914682947446667e-6,0.7606054331372095
NA,main,NA,5.870747335171646e-6,0.7627621376811382
NA,no tipping,NA,8.726622357186175e-6,0.7144047730637438
NA,payroll,NA,5.16115230675441e-6,0.7975402828591674
NA,PUA_recipiency,NA,5.870747335171646e-6,0.7627621376811382
NA,state_FPUC,AK,0.004772118923737893,1.3967383128743955
NA,state_FPUC,AL,9.496532393220305e-6,1.4815539624990712
NA,state_FPUC,AR,0.0014687777334437275,1.5223584874384612
NA,state_FPUC,AZ,0.0024550503152850015,1.1910432091843561
NA,state_FPUC,CA,5.187105563342324e-4,1.439926627633833
NA,state_FPUC,CO,0.002990053795269558,1.5143730164308347
NA,state_FPUC,CT,0.002040974675885709,1.4709284006561558
NA,state_FPUC,DE,0.004825120496141519,1.6193109625106132
NA,state_FPUC,FL,0,1.48143214980735
NA,state_FPUC,GA,1.0397735639509116e-4,1.6335059394615197
NA,state_FPUC,HI,0.001623618409045238,1.497613715322877
NA,state_FPUC,IA,4.030547536923075e-4,1.508900673867579
NA,state_FPUC,ID,0.0020207160741289323,1.5268550092699602
NA,state_FPUC,IL,0.0014117217899820825,1.4771960715436556
NA,state_FPUC,IN,0.0025866944344808324,1.421998675696332
NA,state_FPUC,KS,0.003861526334313796,1.4675137641267693
NA,state_FPUC,KY,0.004892652847452703,1.6012806463650786
NA,state_FPUC,LA,0.002934495529724957,1.4232647952189357
NA,state_FPUC,MA,6.524575676874632e-4,1.367520665854868
NA,state_FPUC,MD,0.0036587231057581323,1.4408957854649702
NA,state_FPUC,ME,0.005155383805884761,1.6277491357740321
NA,state_FPUC,MI,5.765538424237525e-4,1.3922281268618155
NA,state_FPUC,MN,0.0028710783800803222,1.4508984592660878
NA,state_FPUC,MO,1.9915828367708807e-4,1.5342239606913475
NA,state_FPUC,MS,0.010097507773234947,1.4907393841879084
NA,state_FPUC,MT,0.0015664525528652582,1.5457945783499305
NA,state_FPUC,NC,1.0893755786041532e-4,1.516533702863484
NA,state_FPUC,ND,0.002262557946763674,1.481209978105325
NA,state_FPUC,NE,0.005266166367003776,1.4933914249241862
NA,state_FPUC,NH,0.0016628318566376022,1.39714560127672
NA,state_FPUC,NJ,0.0034741069900906343,1.4186821348763752
NA,state_FPUC,NM,0.003398424588665635,1.6354760203011143
NA,state_FPUC,NV,4.0555577136385093e-4,1.3797470330273023
NA,state_FPUC,NY,6.515734755894486e-4,1.3581094775875422
NA,state_FPUC,OH,0.0016083071939421694,1.423719000395244
NA,state_FPUC,OK,0.004229538180024908,1.626310823681768
NA,state_FPUC,OR,0.0021364726813906314,1.598903134277575
NA,state_FPUC,PA,0.0028313698786935444,1.482340350493786
NA,state_FPUC,RI,0.004829953344114205,1.3500728706784195
NA,state_FPUC,SC,0.0014452068333841218,1.3804535672898548
NA,state_FPUC,SD,0.0015403297343722425,1.5697775478144123
NA,state_FPUC,TN,0.004271041979603231,1.4295752280094824
NA,state_FPUC,TX,0.0020945238157429364,1.5126691769895033
NA,state_FPUC,UT,0.001808501811087543,1.4967694553441298
NA,state_FPUC,VA,0.0019670784226709015,1.5153328783649362
NA,state_FPUC,VT,0.0035027384850309104,1.478459487379955
NA,state_FPUC,WA,4.679188672135842e-4,1.36654186254847
NA,state_FPUC,WI,5.463268585144209e-5,1.5354838407772489
NA,state_FPUC,WV,0.0010303480323860313,1.5724467592354534
NA,state_FPUC,WY,0.00380171106850085,1.5198791259081237
NA,state_Jan,AK,1.9273480501649628e-5,0.46657509427261845
NA,state_Jan,AL,1.9633209063714863e-6,0.46549702875235754
NA,state_Jan,AR,0,0.50000002
NA,state_Jan,AZ,2.0041227063552402e-4,0.34029805976695876
NA,state_Jan,CA,4.314083075427409e-33,0.499999994
NA,state_Jan,CO,6.162975822039155e-34,0.599999998
NA,state_Jan,CT,3.6977854932234934e-33,0.499999994
NA,state_Jan,DE,0,0.56521738
NA,state_Jan,FL,1.53304023573224e-32,0.465592961368024
NA,state_Jan,GA,3.170041653299994e-4,0.6144056084120196
NA,state_Jan,HI,0,0.619047624
NA,state_Jan,IA,0,0.565217393
NA,state_Jan,ID,1.5407439555097887e-32,0.499999994
NA,state_Jan,IL,3.5437110976725144e-33,0.469999998
NA,state_Jan,IN,1.4328918786241036e-32,0.470000024
NA,state_Jan,KS,0,0.5525
NA,state_Jan,KY,1.5885181361709774e-4,0.6176771701044342
NA,state_Jan,LA,2.9724154559687585e-4,0.3899957272231893
NA,state_Jan,MA,3.9288970865499616e-33,0.499999994
NA,state_Jan,MD,0,0.541666671
NA,state_Jan,ME,0,0.590909098
NA,state_Jan,MI,8.164072783072605e-5,0.5238945758045489
NA,state_Jan,MN,1.5869662741750825e-32,0.499999994
NA,state_Jan,MO,3.113624486989233e-4,0.5142256601790973
NA,state_Jan,MS,7.997918416249631e-4,0.41954940752593844
NA,state_Jan,MT,0,0.52
NA,state_Jan,NC,3.5437110976725144e-33,0.499999994
NA,state_Jan,ND,1.363558400626163e-32,0.4999999875
NA,state_Jan,NE,1.7179295103934144e-32,0.499999994
NA,state_Jan,NH,1.3757928204819551e-4,0.48246095369151365
NA,state_Jan,NJ,0,0.6
NA,state_Jan,NM,0,0.534999998
NA,state_Jan,NV,0,0.52
NA,state_Jan,NY,1.509929076399593e-32,0.499999994
NA,state_Jan,OH,0,0.5
NA,state_Jan,OK,0,0.565217393
NA,state_Jan,OR,3.0814879110195775e-34,0.65
NA,state_Jan,PA,3.0017428387534654e-8,0.5127672720562291
NA,state_Jan,RI,0,0.5005
NA,state_Jan,SC,1.5894867012400876e-4,0.48582073367104517
NA,state_Jan,SD,3.6207482954480035e-33,0.499999994
NA,state_Jan,TN,7.330796859394968e-4,0.43279056627734075
NA,state_Jan,TX,0,0.52
NA,state_Jan,UT,2.3677859614433814e-7,0.48943734880030443
NA,state_Jan,VA,0,0.52
NA,state_Jan,VT,9.244463733058733e-34,0.577777772
NA,state_Jan,WA,0,0.5005
NA,state_Jan,WI,0,0.52
NA,state_Jan,WV,1.37752566774501e-4,0.5468565527036421
NA,state_Jan,WY,0,0.52
NA,NA,NA,0.3537328044968455,1.2695561571207974
0.25,benefits and tax,NA,1.2467463827944744e-5,0.9084206731911922
0.25,benefits only,NA,1.0900545525521073e-5,0.8514059930613618
0.25,business,NA,5.083490706304352e-5,1.0162541841737873
0.25,main,NA,4.297171567489999e-5,1.0211871629813574
0.25,no tipping,NA,4.2233990670810983e-5,0.9401490106386499
0.25,payroll,NA,5.038588533344083e-5,1.1057792777275108
0.25,PUA_recipiency,NA,4.297171567489999e-5,1.0211871629813574
0.5,benefits and tax,NA,5.982647457801365e-5,1.3436677893833726
0.5,benefits only,NA,1.717351693877767e-5,1.2491070877430626
0.5,business,NA,9.671133655336581e-5,1.457533334716773
0.5,main,NA,1.0157337931735864e-4,1.4656191661504454
0.5,no tipping,NA,5.34650700782559e-5,1.3478902232446703
0.5,payroll,NA,1.1909844796377511e-4,1.587026709421166
0.5,PUA_recipiency,NA,1.0157337931735864e-4,1.4656191661504454
0.75,benefits and tax,NA,2.2277778134202993e-4,1.9990487099341019
0.75,benefits only,NA,2.1907460463943177e-4,1.851017340419047
0.75,business,NA,2.497270851578482e-4,1.9440871335904073
0.75,main,NA,1.0486313518165221e-4,1.949566773712691
0.75,no tipping,NA,1.046671739100903e-4,1.7670809032031034
0.75,payroll,NA,1.229558052776536e-4,2.1110631009341514
0.75,PUA_recipiency,NA,1.0486313518165221e-4,1.949566773712691
NA,benefits and tax,NA,7.0695243949819755e-6,0.6897179728195282
NA,benefits only,NA,7.826863007573127e-6,0.6505904681206585
NA,business,NA,6.416769234915335e-6,0.758109657277838
NA,main,NA,6.346058997999936e-6,0.7602579995415348
NA,no tipping,NA,9.24983682040982e-6,0.7152574608288147
NA,payroll,NA,5.558112284543774e-6,0.7965899654987918
NA,PUA_recipiency,NA,6.346058997999936e-6,0.7602579995415348
NA,state_FPUC,AK,0.004975454414616154,1.3862743912410471
NA,state_FPUC,AL,0,1.48143214980735
NA,state_FPUC,AR,3.926738493852753e-4,1.5171081673437261
NA,state_FPUC,AZ,0.003373053999116535,1.1847803663268208
NA,state_FPUC,CA,4.684716413103505e-4,1.4480322989723404
NA,state_FPUC,CO,0.002970399912732335,1.5065523589122565
NA,state_FPUC,CT,0.003280287913614046,1.4653549857411847
NA,state_FPUC,DE,0.008276011647966049,1.6242542340974662
NA,state_FPUC,FL,0,1.48143214980735
NA,state_FPUC,GA,1.57159455053983e-4,1.6352657236607
NA,state_FPUC,HI,7.165210335157487e-4,1.4929132703729604
NA,state_FPUC,IA,0.0010585809850334861,1.5240750386754314
NA,state_FPUC,ID,0.002878892203378787,1.5456916254993036
NA,state_FPUC,IL,3.7391941471540195e-4,1.4831551047326945
NA,state_FPUC,IN,0.0013594994722764845,1.4451794442509127
NA,state_FPUC,KS,0.004755968193948014,1.4479230810509902
NA,state_FPUC,KY,0.005462142109178254,1.5986482736022296
NA,state_FPUC,LA,9.724929735326878e-4,1.4302728051367652
NA,state_FPUC,MA,8.688443663416817e-4,1.3650901984036472
NA,state_FPUC,MD,0.004151735448504417,1.4488300181214409
NA,state_FPUC,ME,0.004302655370115189,1.634301953121654
NA,state_FPUC,MI,0.0016951514543067153,1.3856992515016031
NA,state_FPUC,MN,0.0032471342495403567,1.4526015060853297
NA,state_FPUC,MO,1.577100768708296e-6,1.5357277687863868
NA,state_FPUC,MS,0.0068569089413708754,1.49455457399085
NA,state_FPUC,MT,0.0014469076037372513,1.5460395373743068
NA,state_FPUC,NC,5.4534142111905716e-5,1.5162715796593693
NA,state_FPUC,ND,0.0022339234054851937,1.4893989815640631
NA,state_FPUC,NE,7.931075124114541e-4,1.511766800400723
NA,state_FPUC,NH,0.0035349833293239863,1.4042117450706624
NA,state_FPUC,NJ,0.003954715258793405,1.4236891045577258
NA,state_FPUC,NM,0.0027283542199306532,1.6368113021697555
NA,state_FPUC,NV,5.986464957601197e-4,1.3858918305356183
NA,state_FPUC,NY,8.581034637331567e-4,1.3529738606221786
NA,state_FPUC,OH,0.001828526431922956,1.426390508710757
NA,state_FPUC,OK,0.004078981430695415,1.6238395139148787
NA,state_FPUC,OR,0.003499385130421143,1.5915396935620005
NA,state_FPUC,PA,0.00246545789770614,1.4907990935159707
NA,state_FPUC,RI,0.004374895854706636,1.3549596491476685
NA,state_FPUC,SC,0.0017093241056240962,1.3775441107639648
NA,state_FPUC,SD,0.0019257781069624215,1.5748762816604638
NA,state_FPUC,TN,0.002840106599126759,1.4687800077626183
NA,state_FPUC,TX,1.341267742590981e-4,1.5345916498082308
NA,state_FPUC,UT,5.628124829244437e-4,1.5040795893862977
NA,state_FPUC,VA,1.803033837963138e-4,1.5346185633050184
NA,state_FPUC,VT,0.0041001830073156146,1.4879055685626144
NA,state_FPUC,WA,5.176822032891014e-4,1.3751965997776325
NA,state_FPUC,WI,3.600476394838485e-4,1.5378782204474615
NA,state_FPUC,WV,7.605748128952228e-4,1.5714910230927503
NA,state_FPUC,WY,0.0029885227829449003,1.5235891426128532
NA,state_Jan,AK,3.0906210731767646e-5,0.4641393704696114
NA,state_Jan,AL,8.921237432838209e-7,0.46554171259762384
NA,state_Jan,AR,0,0.50000002
NA,state_Jan,AZ,2.7535134686664984e-4,0.3385086760933772
NA,state_Jan,CA,1.4714104775118483e-32,0.499999994
NA,state_Jan,CO,9.244463733058733e-34,0.599999998
NA,state_Jan,CT,4.16000867987643e-33,0.499999994
NA,state_Jan,DE,0,0.56521738
NA,state_Jan,FL,3.0814879110195774e-33,0.465592961368024
NA,state_Jan,GA,4.383252423120353e-5,0.6175368027453909
NA,state_Jan,HI,0,0.619047624
NA,state_Jan,IA,0,0.565217393
NA,state_Jan,ID,1.640892312617925e-32,0.499999994
NA,state_Jan,IL,3.6207482954480035e-33,0.469999998
NA,state_Jan,IN,3.3896367021215354e-33,0.470000024
NA,state_Jan,KS,0,0.5525
NA,state_Jan,KY,3.7727377866463653e-4,0.6153220720425947
NA,state_Jan,LA,4.710799497299441e-4,0.3941374017651832
NA,state_Jan,MA,4.16000867987643e-33,0.499999994
NA,state_Jan,MD,0,0.541666671
NA,state_Jan,ME,0,0.590909098
NA,state_Jan,MI,2.4003551503728283e-4,0.5214377640785646
NA,state_Jan,MN,4.468157470978388e-33,0.499999994
NA,state_Jan,MO,1.6070915698565612e-4,0.5166643408136112
NA,state_Jan,MS,5.431141974072133e-4,0.4206231435782635
NA,state_Jan,MT,0,0.52
NA,state_Jan,NC,3.6977854932234934e-33,0.499999994
NA,state_Jan,ND,4.545194668753877e-33,0.4999999875
NA,state_Jan,NE,4.314083075427409e-33,0.499999994
NA,state_Jan,NH,1.683461833910294e-4,0.4795798752415155
NA,state_Jan,NJ,0,0.6
NA,state_Jan,NM,0,0.534999998
NA,state_Jan,NV,0,0.52
NA,state_Jan,NY,1.4637067577342992e-32,0.499999994
NA,state_Jan,OH,0,0.5
NA,state_Jan,OK,0,0.565217393
NA,state_Jan,OR,9.244463733058733e-34,0.65
NA,state_Jan,PA,2.6138127145970723e-8,0.5127948139798177
NA,state_Jan,RI,0,0.5005
NA,state_Jan,SC,1.9917027493305983e-4,0.484857136643755
NA,state_Jan,SD,1.5946699939526315e-32,0.499999994
NA,state_Jan,TN,4.94967693421882e-4,0.44471455486855577
NA,state_Jan,TX,0,0.52
NA,state_Jan,UT,2.1123056062079597e-7,0.48942999353049205
NA,state_Jan,VA,0,0.52
NA,state_Jan,VT,6.162975822039155e-34,0.577777772
NA,state_Jan,WA,0,0.5005
NA,state_Jan,WI,0,0.52
NA,state_Jan,WV,1.5630058045150517e-4,0.5465728552456397
NA,state_Jan,WY,0,0.52
NA,NA,NA,0.43346697933125755,1.2669325582565294
0.25,benefits and tax,NA,1.4262558753687538e-5,0.9102536143389985
0.25,benefits only,NA,1.416075013624858e-5,0.8535020835752511
0.25,business,NA,3.073445868087468e-5,1.0229196759417327
0.25,main,NA,3.073812203632818e-5,1.026544042354725
0.25,no tipping,NA,9.164406040901628e-6,0.9491699600540412
0.25,payroll,NA,3.60415558923945e-5,1.1115799050944493
0.25,PUA_recipiency,NA,3.073812203632818e-5,1.026544042354725
0.5,benefits and tax,NA,3.919872045802992e-5,1.3319731789802962
0.5,benefits only,NA,3.621507561747612e-5,1.2428144891795652
0.5,business,NA,7.203230444621984e-5,1.4471046006755126
0.5,main,NA,2.0983226372114175e-5,1.4516923589571087
0.5,no tipping,NA,5.57417443714915e-5,1.3481663341054269
0.5,payroll,NA,2.460358915871087e-5,1.5719462468403955
0.5,PUA_recipiency,NA,2.0983226372114175e-5,1.4516923589571087
0.75,benefits and tax,NA,8.907181727967834e-5,1.976348187376322
0.75,benefits only,NA,1.6265587229296607e-4,1.8273183104840567
0.75,business,NA,3.8356393136008797e-4,1.9196814344057351
0.75,main,NA,4.5256436968541675e-4,1.9292075805100881
0.75,no tipping,NA,1.9401233020106064e-4,1.7575656075677961
0.75,payroll,NA,5.306480339184264e-4,2.089017412571832
0.75,PUA_recipiency,NA,4.5256436968541675e-4,1.9292075805100881
NA,benefits and tax,NA,7.44980017851585e-6,0.6896502219488904
NA,benefits only,NA,8.175657653334587e-6,0.6496342303858941
NA,business,NA,5.95891223794933e-6,0.7609684063866509
NA,main,NA,5.878363557746359e-6,0.7631826674230964
NA,no tipping,NA,8.518318094235756e-6,0.7206483768821409
NA,payroll,NA,5.232345923805184e-6,0.7992820444133539
NA,PUA_recipiency,NA,5.878363557746359e-6,0.7631826674230964
NA,state_FPUC,AK,0.004226324286079215,1.3843696014799594
NA,state_FPUC,AL,0,1.48143214980735
NA,state_FPUC,AR,3.8263820216057954e-4,1.515312928399402
NA,state_FPUC,AZ,0.0029471119822426844,1.1881055903401738
NA,state_FPUC,CA,5.845903561133802e-4,1.4349558323216423
NA,state_FPUC,CO,0.003944337219861897,1.4912484683415725
NA,state_FPUC,CT,0.0022223543389413773,1.444789743622097
NA,state_FPUC,DE,0.004870278965751173,1.6195684686769807
NA,state_FPUC,FL,0,1.48143214980735
NA,state_FPUC,GA,1.391830574045741e-4,1.634350089222801
NA,state_FPUC,HI,5.786647195299728e-4,1.492202014465487
NA,state_FPUC,IA,4.2066806902656367e-4,1.5079953540091984
NA,state_FPUC,ID,0.0015679366523502912,1.5250859846535774
NA,state_FPUC,IL,0.0011447633617320517,1.4789351951838763
NA,state_FPUC,IN,0.0019739320024076083,1.4344705228084411
NA,state_FPUC,KS,0.0031061426848050643,1.4381799992473328
NA,state_FPUC,KY,0.00400532631962096,1.6072603256665738
NA,state_FPUC,LA,9.378081773679233e-4,1.4307091106951693
NA,state_FPUC,MA,7.164523090623493e-4,1.351197738722757
NA,state_FPUC,MD,0.0034609963582286542,1.4449671243455133
NA,state_FPUC,ME,5.439729440956381e-4,1.6085984775939879
NA,state_FPUC,MI,0.0015807253907671457,1.385413737029442
NA,state_FPUC,MN,0.0029453389120711712,1.4417905326120557
NA,state_FPUC,MO,2.0266088361790277e-4,1.5340005499492078
NA,state_FPUC,MS,0.007103695009821925,1.4695696982475919
NA,state_FPUC,MT,4.524225019933406e-4,1.5394016894264466
NA,state_FPUC,NC,2.3559850876457494e-5,1.516031047670653
NA,state_FPUC,ND,0.0023052422313857694,1.4756062897727078
NA,state_FPUC,NE,0.00293382767575409,1.5020783866169205
NA,state_FPUC,NH,0.0016952882206973108,1.3974882840946738
NA,state_FPUC,NJ,0.00375682138868274,1.3967280028008702
NA,state_FPUC,NM,0.002009438091904518,1.6195739959751416
NA,state_FPUC,NV,4.58317126549046e-4,1.3862763606931023
NA,state_FPUC,NY,7.64859288307964e-4,1.3500101807605602
NA,state_FPUC,OH,0.0015970992960828208,1.4238002448720135
NA,state_FPUC,OK,0.0033846257662585146,1.653117321300732
NA,state_FPUC,OR,0.004267014835795696,1.5803866105313442
NA,state_FPUC,PA,0.0013926828048553142,1.4726939168817657
NA,state_FPUC,RI,0.004664177386343738,1.3389833023077333
NA,state_FPUC,SC,0.001175545149019958,1.3643100453747126
NA,state_FPUC,SD,0.001505927994181925,1.5599283983257142
NA,state_FPUC,TN,0.003965043376412655,1.4420465997261906
NA,state_FPUC,TX,7.11785074262181e-4,1.5310812923654435
NA,state_FPUC,UT,8.536722919987857e-4,1.5021532363683443
NA,state_FPUC,VA,1.5780819422533347e-4,1.5344953734593916
NA,state_FPUC,VT,0.003123402628066744,1.4843750814173193
NA,state_FPUC,WA,2.6999421893857275e-4,1.3699001179930723
NA,state_FPUC,WI,3.052073448860067e-4,1.5332902787964828
NA,state_FPUC,WV,2.801095863758599e-4,1.5665976236125536
NA,state_FPUC,WY,0.0013203459289550905,1.5321262172734138
